Serial No,Age,Gender,University,Department,Enrolled Program,T Number,S Number,B Number,Study Year,online Exam,Ofline Number,TSR,TOS,PCC1,DCC1,ACC1,PCC2,DCC2,ACC2,PCC3,DCC3,ACC3,PCC4,DCC4,ACC4,PCC5,DCC5,ACC5,PCC6,DCC6,ACC6,PCC7,DCC7,ACC7,PCC8,DCC8,ACC8,PTEA1,DTEA1,ATEA1,PTEA2,DTEA2,ATEA2,PTEA3,DTEA3,ATEA3,PTEA4,DTEA4,ATEA4,PIS1,DIS1,AIS1,PIS2,DIS2,AIS2,PIS3,DIS3,AIS3,PIS4,DIS4,AIS4,PIS5,DIS5,AIS5,PIS6,DIS6,AIS6,PARA1,DARA1,AARA1,PARA2,DARA2,AARA2,PARA3,DARA3,AARA3,CGPA
61,23,1,RU,Math,1,30,122,5,4,0,3,4,4,4,2,3,4,2,4,5,1,3,4,2,2,3,1,2,4,3,4,4,1,4,3,2,4,1,1,2,4,1,2,2,3,4,4,3,4,3,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,3
62,22,2,RU,Math,1,30,122,5,4,0,3,4,4,4,2,4,4,3,5,3,2,3,2,1,2,3,4,4,4,2,4,1,1,1,4,1,5,4,1,5,4,1,4,4,1,4,3,1,3,4,3,4,2,1,2,2,1,4,4,4,4,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,3.47
63,23,1,RU,Math,1,30,122,5,4,0,3,4,3,4,3,4,4,3,4,4,1,5,4,3,4,4,5,3,4,2,4,4,1,4,4,1,4,4,2,4,3,2,3,1,1,1,4,3,4,4,3,4,2,1,2,2,2,2,2,2,4,1,1,1,2,1,2,2,1,2,3,1,2,1,1,1,3.1
64,23,1,RU,Math,1,30,122,5,4,0,3,3,3,4,2,4,3,2,3,4,4,4,4,4,4,3,4,3,3,2,3,4,4,4,4,4,4,4,4,4,3,2,3,3,2,3,4,3,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,3.88
65,23,2,RU,Math,1,30,122,5,4,0,3,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,1,1,1,4,3,3,3,1,2,5,5,5,4,3,4,2,1,2,3.15
66,25,1,RU,Math,1,30,122,5,4,0,3,2,3,3,1,5,3,1,4,1,3,1,3,1,4,3,4,4,3,2,4,5,5,5,4,2,4,3,1,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3.17
67,23,1,RU,Math,1,30,122,5,4,0,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,4,5,5,5,4,5,5,5,4,3,5,4,3,4,5,4,5,4,4,4,5,4,5,5,5,5,5,4,5,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,3.48
68,22,1,RU,Math,1,30,122,5,4,0,3,4,4,3,4,5,5,4,3,5,3,2,1,2,3,3,2,1,4,2,3,1,2,4,4,2,1,1,2,1,3,2,3,2,5,3,4,2,5,1,2,3,3,2,1,2,1,3,2,3,1,3,2,2,5,2,3,2,1,2,5,4,2,2,1,2,3.5
69,23,1,RU,Math,1,30,122,5,4,0,3,4,4,4,2,4,5,3,5,4,2,3,4,2,3,3,1,2,2,3,4,4,1,3,4,1,2,4,2,4,4,3,4,4,1,4,4,2,4,4,2,4,3,1,3,3,2,3,4,3,4,2,1,2,2,1,2,3,2,3,2,2,2,2,1,2,3.33
70,24,1,RU,Math,1,30,122,5,4,0,3,3,3,4,2,3,4,3,3,2,2,3,1,1,1,1,1,1,3,2,3,4,1,4,2,1,1,4,1,3,3,1,2,1,1,1,3,2,3,3,3,4,1,1,1,1,1,1,2,1,3,3,5,4,2,2,2,1,1,1,1,1,1,1,1,1,3.4
71,23,1,RU,Math,1,30,122,5,4,0,3,4,3,5,4,5,5,5,5,5,2,5,5,2,5,5,2,5,1,1,1,5,1,3,5,1,2,5,4,5,3,2,3,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3
72,24,2,RU,Math,1,30,122,5,4,0,3,4,3,4,2,3,4,1,3,4,4,3,2,1,2,4,5,4,4,2,3,1,1,1,1,1,1,4,4,4,3,2,3,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3.05
73,24,1,RU,Math,1,30,122,5,4,0,3,3,2,4,2,2,4,1,3,4,4,4,2,1,2,4,5,5,4,2,3,1,1,1,1,1,1,4,4,4,3,2,3,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3.93
74,23,1,RU,Math,1,30,122,5,4,0,3,4,4,4,2,4,4,2,4,4,2,4,3,2,3,2,2,3,3,2,3,4,1,4,4,1,3,2,1,2,1,1,1,2,1,2,2,2,2,3,4,3,1,1,1,3,2,3,2,1,2,1,1,1,2,1,2,3,2,3,3,2,3,3,2,3,3.26
75,23,1,RU,Math,1,30,122,5,4,0,3,2,3,5,2,5,4,2,4,4,2,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,1,1,4,4,4,4,4,4,3,1,3,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,3.35
76,23,2,RU,Psychology,1,16,68,5,3,0,2,4,4,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,3,4,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,3,4,4,3,4,5,4,5,4,3,4,4,3,4,4,3,4,4,3,4,3.23
77,23,1,RU,Psychology,1,16,68,5,3,0,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3
78,23,2,RU,Psychology,1,16,68,5,3,0,2,4,4,4,4,4,3,4,3,5,5,5,4,4,4,5,5,5,4,4,4,5,3,3,5,3,4,5,2,4,4,4,4,4,4,4,5,5,5,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,5,3,5,4,3,4,4,3,4,5,4,5,3.89
79,22,2,RU,Psychology,1,16,68,5,3,0,2,4,4,4,4,4,3,3,3,4,3,4,5,3,5,5,5,5,4,4,4,5,3,3,5,3,3,5,3,4,4,4,4,4,4,4,5,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,4,3,4,3,3,3,4,4,4,3.47
80,23,2,RU,Psychology,1,16,68,5,3,0,2,4,4,5,4,5,5,3,3,5,5,5,5,5,5,5,4,5,5,4,5,5,3,5,5,4,5,4,2,4,4,3,5,3,2,3,5,1,5,5,3,5,4,3,4,3,2,4,2,1,2,5,4,5,5,3,5,3,2,3,4,3,4,5,3,5,3.34
81,23,2,RU,Psychology,1,16,68,5,3,0,2,4,3,4,2,4,3,2,3,5,3,5,3,2,4,4,1,4,4,4,4,2,2,3,2,2,3,4,4,4,3,3,3,3,2,3,4,3,4,4,2,4,4,2,4,3,3,3,3,1,3,3,1,3,2,2,2,3,3,3,3,3,3,4,2,4,3.45
82,22,2,RU,Psychology,1,16,68,5,3,0,2,4,4,4,3,3,4,2,3,4,3,4,4,4,4,4,5,4,4,4,4,5,3,5,4,3,4,4,3,4,4,4,4,3,3,3,4,3,3,3,3,3,5,5,5,4,3,4,3,2,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3.5
83,22,2,RU,Psychology,1,16,68,5,3,0,2,3,5,3,4,4,3,5,4,3,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,3,5,4,2,2,2,2,2,3,3,3,3,1,1,1,3,3,3,3,4,4,3,3,3,3,4,4,3.6
84,23,2,RU,Psychology,1,16,68,5,3,0,2,4,4,3,3,4,2,4,4,4,3,4,4,1,4,2,4,2,4,3,4,3,3,3,3,2,5,4,4,4,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,5,5,5,3,3,4,5,5,5,4,5,5,4,3,4,4,4,4,3,3,3,3.32
85,24,2,RU,Psychology,1,16,68,5,3,0,2,2,3,3,5,4,4,5,4,5,2,4,5,5,4,4,5,4,4,3,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,5,4,4,5,4,3,5,4,4,5,5,4,3,3,3,4,4,4,5,4,5,3.5
86,23,1,RU,Psychology,1,16,68,5,3,0,2,4,4,3,4,4,2,3,5,4,3,3,2,3,4,3,4,5,4,4,4,3,3,5,4,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,5,5,3,4,4,5,3,3,4,3,5,5,4,3,4,5,5,5,4,4,3,3,3.53
87,23,1,RU,Psychology,1,16,68,5,3,0,2,4,4,3,2,4,4,4,4,4,4,4,3,3,3,4,4,4,5,5,5,3,3,3,4,4,4,5,3,5,5,5,5,4,3,4,5,5,5,5,5,5,5,4,5,5,5,5,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,3.67
