Serial No,Age,Gender,University,Department,Enrolled Program,T Number,S Number,B Number,Study Year,online Exam,Ofline Number,TSR,TOS,PCC1,DCC1,ACC1,PCC2,DCC2,ACC2,PCC3,DCC3,ACC3,PCC4,DCC4,ACC4,PCC5,DCC5,ACC5,PCC6,DCC6,ACC6,PCC7,DCC7,ACC7,PCC8,DCC8,ACC8,PTEA1,DTEA1,ATEA1,PTEA2,DTEA2,ATEA2,PTEA3,DTEA3,ATEA3,PTEA4,DTEA4,ATEA4,PIS1,DIS1,AIS1,PIS2,DIS2,AIS2,PIS3,DIS3,AIS3,PIS4,DIS4,AIS4,PIS5,DIS5,AIS5,PIS6,DIS6,AIS6,PARA1,DARA1,AARA1,PARA2,DARA2,AARA2,PARA3,DARA3,AARA3,CGPA
88,22,2,RU,Psychology,1,16,68,5,3,0,2,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,3.11
89,21,2,RU,Psychology,1,16,68,5,3,0,2,4,4,5,4,3,5,5,3,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,2,4,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3.87
90,24,2,RU,Psychology,1,16,68,5,3,0,2,4,4,3,2,3,2,3,3,4,4,4,5,5,5,4,4,4,4,4,4,4,3,3,5,1,1,1,1,1,3,4,3,3,2,3,4,4,5,4,4,4,3,3,3,4,3,4,3,3,3,3,4,3,3,4,3,2,2,3,3,4,3,4,4,4,3.13
91,23,2,RU,Social Work,1,18,100,5,3,0,2,5,4,5,5,5,5,5,5,5,3,4,5,3,5,5,4,5,5,5,5,4,3,4,5,4,5,5,3,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,2,3,4,3,4,4,3,4,5,5,5,5,5,5,5,5,5,4,3,4,3.45
92,23,2,RU,Social Work,1,18,100,5,3,0,2,5,4,5,2,5,5,2,5,5,3,5,4,2,4,5,5,5,4,2,4,4,1,4,4,1,4,5,1,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,4,2,4,5,5,5,3,1,2,3.38
93,23,2,RU,Social Work,1,18,100,5,3,0,2,4,4,4,3,4,5,4,5,5,1,5,5,5,5,4,2,5,5,4,5,3,1,2,4,2,3,5,2,4,5,2,4,4,3,4,5,5,5,5,3,5,4,3,4,5,4,5,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,2,1,2,3.18
94,23,1,RU,CSE,1,20,50,4,"4,1",1,5,4,4,5,4,5,5,3,5,5,2,5,5,5,5,4,4,4,4,4,4,4,2,2,4,2,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,3,2,3,4,3,4,2,1,2,4,4,4,4,4,4,4,3,4,2,1,2,1,1,1,3
95,23,1,RU,CSE,1,26,50,4,"4,1",2,6,2,1,5,4,5,5,2,5,5,2,5,4,3,4,3,1,3,4,3,4,4,3,2,4,2,1,4,2,4,3,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.33
96,23,1,RU,IER,1,10,53,6,"4,1",1,5,4,3,4,2,3,4,2,2,5,5,5,4,4,4,4,2,3,4,4,4,4,2,3,5,2,2,4,3,3,4,4,4,3,3,3,4,3,4,4,2,2,4,2,4,4,3,3,4,3,4,4,3,4,4,3,4,4,2,3,3,3,3,4,3,4,3.18
97,23,1,RU,M Studies,1,25,115,5,"3,1",0,3,4,3,4,4,2,4,3,2,5,4,5,4,4,2,4,2,3,4,2,2,3,2,3,5,1,2,4,1,2,4,4,3,4,3,3,4,4,3,4,3,1,4,2,2,3,2,2,4,2,3,4,5,4,5,5,4,5,2,2,4,4,3,3,2,2,3
98,24,1,RUET,CE,1,27,120,5,3,2,3,4,3,5,3,4,5,2,4,5,3,5,5,4,4,5,4,5,3,2,3,3,1,4,4,4,4,4,3,4,3,3,3,3,2,3,4,3,4,4,2,4,4,3,4,2,1,2,3,1,3,2,1,2,1,1,1,3,1,3,2,2,2,3,2,3,2.99
99,24,1,RUET,CE,1,27,120,5,3,1,4,3,2,5,3,5,5,2,5,4,5,4,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,4,2,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,2,2,2,4,4,4,4,4,4,3,3,3,2.32
